customer_id,product_id,interaction_type,interaction_date,products,customer_age,customer_income,customer_tier
C707799,P00012,purchased,2022-05-08,Health Insurance,31,874991,Silver
C707799,P00003,purchased,2023-09-04,Car Insurance,31,874991,Silver
C707799,P00004,clicked,2022-05-09,Personal Loan,31,874991,Silver
C707799,P00002,viewed,2023-06-13,Bike Insurance,31,874991,Silver
C707799,P00003,viewed,2024-04-21,Car Insurance,31,874991,Silver
C201943,P00008,viewed,2022-02-12,Recurring Deposit,43,921105,Gold
C201943,P00001,clicked,2024-11-14,Car Loan,43,921105,Gold
C201943,P00007,purchased,2024-06-14,Fixed Deposit,43,921105,Gold
C201943,P00011,clicked,2022-09-07,Life Insurance,43,921105,Gold
C660617,P00002,viewed,2023-01-03,Bike Insurance,45,386614,Platinum
C660617,P00010,viewed,2024-06-30,Home Loan,45,386614,Platinum
C965574,P00007,purchased,2024-06-15,Fixed Deposit,67,106979,Bronze
C965574,P00005,clicked,2022-11-07,Savings Account,67,106979,Bronze
C965574,P00007,viewed,2024-12-07,Fixed Deposit,67,106979,Bronze
C965574,P00009,purchased,2024-07-02,Debit Card,67,106979,Bronze
C190123,P00008,viewed,2022-09-01,Recurring Deposit,19,419175,Platinum
C943803,P00001,clicked,2024-09-24,Car Loan,51,758502,Platinum
C943803,P00002,purchased,2024-01-21,Bike Insurance,51,758502,Platinum
C943803,P00012,clicked,2024-04-06,Health Insurance,51,758502,Platinum
C943803,P00005,viewed,2022-03-02,Savings Account,51,758502,Platinum
C952947,P00002,viewed,2022-09-28,Bike Insurance,23,40980,Platinum
C952947,P00005,clicked,2024-01-18,Savings Account,23,40980,Platinum
C529258,P00011,clicked,2024-07-31,Life Insurance,53,137196,Silver
C529258,P00012,viewed,2024-01-05,Health Insurance,53,137196,Silver
C529258,P00009,purchased,2023-12-04,Debit Card,53,137196,Silver
C777155,P00004,purchased,2023-02-05,Personal Loan,35,827521,Platinum
C777155,P00006,purchased,2024-11-08,Credit Card,35,827521,Platinum
C777155,P00006,clicked,2022-01-24,Credit Card,35,827521,Platinum
C772689,P00010,purchased,2023-02-28,Home Loan,53,322993,Bronze
C772689,P00003,viewed,2023-08-11,Car Insurance,53,322993,Bronze
C669854,P00006,viewed,2024-09-20,Credit Card,69,511566,Platinum
C669854,P00006,purchased,2022-07-07,Credit Card,69,511566,Platinum
C669854,P00012,viewed,2024-01-02,Health Insurance,69,511566,Platinum
C669854,P00008,purchased,2024-05-25,Recurring Deposit,69,511566,Platinum
C701593,P00001,clicked,2023-03-25,Car Loan,38,403658,Platinum
C701593,P00009,purchased,2022-08-26,Debit Card,38,403658,Platinum
C701593,P00008,viewed,2023-03-19,Recurring Deposit,38,403658,Platinum
C701593,P00008,clicked,2023-01-28,Recurring Deposit,38,403658,Platinum
C548433,P00004,purchased,2022-10-08,Personal Loan,56,720219,Silver
C983708,P00011,purchased,2022-10-14,Life Insurance,69,167674,Gold
C983708,P00002,viewed,2022-08-19,Bike Insurance,69,167674,Gold
C983708,P00005,clicked,2024-09-24,Savings Account,69,167674,Gold
C983708,P00007,viewed,2024-07-21,Fixed Deposit,69,167674,Gold
C476385,P00002,clicked,2023-09-12,Bike Insurance,32,923957,Silver
C476385,P00010,purchased,2022-04-12,Home Loan,32,923957,Silver
C476385,P00012,viewed,2023-04-27,Health Insurance,32,923957,Silver
C476385,P00005,clicked,2022-07-01,Savings Account,32,923957,Silver
C805905,P00012,purchased,2023-03-30,Health Insurance,64,209820,Platinum
C751658,P00005,clicked,2022-11-13,Savings Account,55,144918,Silver
C751658,P00010,clicked,2024-08-31,Home Loan,55,144918,Silver
C751658,P00001,clicked,2023-01-01,Car Loan,55,144918,Silver
C751658,P00002,clicked,2022-12-04,Bike Insurance,55,144918,Silver
C751658,P00003,clicked,2023-02-17,Car Insurance,55,144918,Silver
C441174,P00012,purchased,2022-02-12,Health Insurance,18,743941,Platinum
C173433,P00010,purchased,2024-11-21,Home Loan,31,107145,Bronze
C173433,P00011,purchased,2023-05-08,Life Insurance,31,107145,Bronze
C173433,P00002,clicked,2024-09-05,Bike Insurance,31,107145,Bronze
C173433,P00010,purchased,2022-03-03,Home Loan,31,107145,Bronze
C342449,P00009,clicked,2023-01-23,Debit Card,60,307935,Bronze
C342449,P00005,purchased,2022-09-05,Savings Account,60,307935,Bronze
C348888,P00001,purchased,2023-08-20,Car Loan,57,564875,Gold
C348888,P00002,viewed,2023-01-07,Bike Insurance,57,564875,Gold
C909235,P00004,clicked,2022-12-13,Personal Loan,65,594892,Silver
C886585,P00005,viewed,2023-10-23,Savings Account,53,337934,Platinum
C886585,P00007,viewed,2024-03-23,Fixed Deposit,53,337934,Platinum
C886585,P00001,clicked,2022-08-12,Car Loan,53,337934,Platinum
C886585,P00011,purchased,2024-09-29,Life Insurance,53,337934,Platinum
C886585,P00007,clicked,2023-09-24,Fixed Deposit,53,337934,Platinum
C198454,P00001,viewed,2024-02-07,Car Loan,32,603440,Platinum
C198454,P00001,clicked,2024-12-18,Car Loan,32,603440,Platinum
C198454,P00009,purchased,2023-08-30,Debit Card,32,603440,Platinum
C198454,P00001,viewed,2022-07-01,Car Loan,32,603440,Platinum
C198454,P00007,clicked,2024-03-11,Fixed Deposit,32,603440,Platinum
C933219,P00011,viewed,2022-03-19,Life Insurance,20,306136,Gold
C933219,P00002,purchased,2023-11-29,Bike Insurance,20,306136,Gold
C626809,P00002,viewed,2024-05-09,Bike Insurance,66,671933,Gold
C626809,P00011,viewed,2024-05-31,Life Insurance,66,671933,Gold
C626809,P00012,clicked,2023-02-05,Health Insurance,66,671933,Gold
C524965,P00010,viewed,2024-07-25,Home Loan,37,443647,Platinum
C626520,P00008,viewed,2023-12-26,Recurring Deposit,43,993843,Gold
C626520,P00005,viewed,2022-09-06,Savings Account,43,993843,Gold
C626520,P00002,purchased,2022-01-20,Bike Insurance,43,993843,Gold
C626520,P00001,purchased,2024-07-29,Car Loan,43,993843,Gold
C586566,P00006,clicked,2022-01-21,Credit Card,60,750561,Gold
C586566,P00007,viewed,2023-11-03,Fixed Deposit,60,750561,Gold
C586566,P00008,clicked,2024-08-04,Recurring Deposit,60,750561,Gold
C586566,P00008,purchased,2022-07-23,Recurring Deposit,60,750561,Gold
C586566,P00004,viewed,2022-12-26,Personal Loan,60,750561,Gold
C583461,P00003,clicked,2022-11-24,Car Insurance,42,536788,Bronze
C583461,P00002,purchased,2024-11-07,Bike Insurance,42,536788,Bronze
C583461,P00005,viewed,2022-12-18,Savings Account,42,536788,Bronze
C670654,P00008,clicked,2022-12-09,Recurring Deposit,25,159418,Bronze
C670654,P00012,purchased,2023-11-03,Health Insurance,25,159418,Bronze
C670654,P00006,purchased,2024-02-11,Credit Card,25,159418,Bronze
C375115,P00003,purchased,2024-06-14,Car Insurance,29,432029,Gold
C375115,P00011,purchased,2025-01-02,Life Insurance,29,432029,Gold
C375115,P00002,viewed,2024-03-30,Bike Insurance,29,432029,Gold
C375115,P00006,purchased,2022-06-09,Credit Card,29,432029,Gold
C375115,P00005,viewed,2024-10-30,Savings Account,29,432029,Gold
C226715,P00011,clicked,2023-03-23,Life Insurance,68,55249,Bronze
C226715,P00012,viewed,2022-07-09,Health Insurance,68,55249,Bronze
C924279,P00011,purchased,2022-03-11,Life Insurance,68,42426,Bronze
C596527,P00006,clicked,2023-01-24,Credit Card,57,874154,Bronze
C596527,P00007,clicked,2023-09-30,Fixed Deposit,57,874154,Bronze
C596527,P00008,purchased,2024-03-10,Recurring Deposit,57,874154,Bronze
C596527,P00004,viewed,2023-04-13,Personal Loan,57,874154,Bronze
C596527,P00011,purchased,2024-03-30,Life Insurance,57,874154,Bronze
C816884,P00012,viewed,2022-07-22,Health Insurance,61,642679,Bronze
C932890,P00008,viewed,2022-05-11,Recurring Deposit,32,776409,Bronze
C932890,P00004,viewed,2022-11-16,Personal Loan,32,776409,Bronze
C932890,P00011,purchased,2023-07-19,Life Insurance,32,776409,Bronze
C317901,P00005,viewed,2024-11-11,Savings Account,25,738574,Bronze
